views,retweets,quotes,likes,bookmarks,tweet,profile_picture,name,profile_handle,profile_url,tweet_timing,tweet_date,tweet_id,tweet_url
56.1K,"3,237",163.3K,2,2,"""She was warned. She was given an explanation. Nevertheless, she persisted.""

So must we all.",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,10:18 AM,"Feb 8, 2017",829393915325321217,https://www.twitter.com/HillaryClinton/status/829393915325321217
45.8K,"2,122",188.5K,10,10,"I'm one of 100 million #SuperBowl fans that just went #Gaga for the Lady, & her message to all of us.This land was made for you and me  @ladygaga #SB51",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,"Feb 5, 20176:17 PM","Feb 5, 2017",,https://www.twitter.com/hashtag/SuperBowl?src=hashtag_click
,725,,41.7K,,"What I'm thinking about today:

Khizr Khan:
http://newyorker.com/news/news-desk/khizr-khan-gold-star-father-on-the-new-refugee-ban…

And a vet who fought with those now excluded:
https://mobile.nytimes.com/2017/01/29/opinion/allies-in-combat-now-unwanted.html?_r=0&referer=https://www.google.com/…",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,11:27 AM,"Jan 31, 2017",,https://www.twitter.comhttps://t.co/wrHK7IkBrG
21.7K,"2,927",67.5K,17,17,"Philippe's got his own way of saying things, but he has a point about the real consequences of fake news...Dear Mike Flynn & Mike Flynn Jr.,

What goes around COMETS around.

And given your pizza obsession...

https://jobs.dominos.com/dominos-careers/…

xo

Philippe",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,"Feb 13, 20179:41 PM","Feb 13, 2017",831377792893849600,https://www.twitter.com/HillaryClinton/status/831377792893849600
,"1,654",,40.5K,,Let resistance plus persistence equal progress…here was my message to Democrats today.,https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,10:44 AM,"Feb 24, 2017",835198816395526144,https://www.twitter.com/HillaryClinton/status/835198816395526144
,"2,484",,64.5K,,"If you can't stand the heat, get out of the...Congress.
https://kansascity.relaymedia.com/amp/opinion/editorials/article134098414.html…",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,12:54 PM,"Feb 22, 2017",,https://www.twitter.comhttps://t.co/TEAXDPEPrt
,601,,51.9K,,"Congrats to @DNC chair @TomPerez & deputy @keithellison. Excited for strong, unified party standing for best of our country into the future.",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,1:28 PM,"Feb 25, 2017",,https://www.twitter.com/DNC
,396,,30.4K,,"If you're studying global health, or just want to feed your inner wonk, check out my wonderful daughter & @devisridhar's new book.How is #universalhealthcare implemented in different countries? http://bit.ly/2l9dkT4 by @ChelseaClinton and @devisridhar",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,"Feb 18, 20176:05 AM","Feb 18, 2017",,https://www.twitter.com/devisridhar
,129,,13.5K,,"Pam, who is raising her grandson because his parents are struggling with opioid addiction - a silent epidemic in so many communities.",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,2:25 PM,"Mar 24, 2017",845386004538281986,https://www.twitter.com/HillaryClinton/status/845386004538281986
38.9K,"2,971",121K,1,1,"Things I learned today.Russians spy.
Health Care is complicated.
Diplomacy is exhausting. 

Who knew?",https://pbs.twimg.com/profile_images/1835697796122370048/gNMHs4vB_normal.jpg,Hillary Clinton,@HillaryClinton,https://www.twitter.com/HillaryClinton,"Mar 17, 20178:49 AM","Mar 17, 2017",842764830520082433,https://www.twitter.com/HillaryClinton/status/842764830520082433
